author_key,author_name
/authors/OL2417731A,Pearson
/authors/OL237525A,Nancy L. Mace
/authors/OL240492A,Peter V. Rabins
/authors/OL5104738A,Nancy L Mace
/authors/OL34330A,Eric Carle
/authors/OL461221A,Charles B. Corbin
/authors/OL957488A,Ruth Lindsey
/authors/OL3082993A,Corbin
/authors/OL5463627A,CORBIN & WELK
/authors/OL2639384A,Gregory J Welk
/authors/OL8041999A,Charles B. Corbin
/authors/OL2639385A,William R Corbin
/authors/OL2640691A,Karen A Welk
/authors/OL7573527A,Charles Corbin
/authors/OL3357164A,Greg Welk
/authors/OL887885A,William Corbin
/authors/OL3357534A,Karen Welk
/authors/OL2639594A,William R. Corbin
/authors/OL8042000A,Gregory J. Welk
/authors/OL8042001A,Karen A. Welk
/authors/OL240902A,Scott K. Powers
/authors/OL545689A,Edward T. Howley
/authors/OL2710683A,Powers
/authors/OL3564282A,Powers & Howley
/authors/OL7945798A,Scott K. (Scott Kline) Powers
/authors/OL538367A,Scott Powers
/authors/OL2529062A,Edward Howley
/authors/OL7941622A,Scott K. Powers
/authors/OL8055398A,Edward T. Howley
/authors/OL2623606A,John Gray
/authors/OL1481979A,Werner W. K. Hoeger
/authors/OL2749349A,Wener W.K. Hoeger
/authors/OL2906392A,Werner W. K Hoeger
/authors/OL3445179A,HOEGER/HOEGER
/authors/OL2749350A,Sharon A. Hoeger
/authors/OL6952109A,Wener W. K. Hoeger
/authors/OL8042239A,Sharon Hoeger
/authors/OL8042240A,Wener Hoeger
/authors/OL1004897A,Janet L. Hopson
/authors/OL2728687A,Janet Hopson
/authors/OL6208280A,Rebecca J. Donatelle
/authors/OL7958791A,Tanya R. Littrell
/authors/OL407180A,Liz Neporent
/authors/OL2141525A,William Garden Blaikie
/authors/OL6892631A,William Blaikie
/authors/OL7644547A,William Blaikie
/authors/OL548329A,F. Matthias Alexander
/authors/OL404197A,Edward Maisel
/authors/OL3297094A,F. Mathias Alexander
/authors/OL5403060A,F Matthias Alexander
/authors/OL1428734A,Frédéric Delavier
/authors/OL7172377A,"Wener W.K. Hoeger, Sharon A. Hoeger"
/authors/OL7807379A,Amber L. Fawson
/authors/OL8095880A,Cherie I. Hoeger
/authors/OL2651734A,Stephen L. Dodd
/authors/OL3274932A,Virginia J. Noland
/authors/OL2748203A,Royal canadian Airforce
/authors/OL1779382A,Canada. Royal Canadian Air Force.
/authors/OL5155390A,Canada. Royal Canadian Air Force
/authors/OL2656855A,Royal Canadian Air Force
/authors/OL2749090A,Rcaf
/authors/OL2751594A,Royal canadian air force
/authors/OL1271166A,Jørgen Peter Müller
/authors/OL2696686A,Adrianne E. Hardman
/authors/OL6290437A,David J. Stensel
/authors/OL77727A,Peggy Hackney
/authors/OL548288A,Suzanne Schlosberg
/authors/OL3251779A,Curt Lox
/authors/OL3251780A,Kathleen Anne Martin
/authors/OL3251781A,Steven J. Petruzzello
/authors/OL183914A,David K. Miller
/authors/OL2624970A,T. Earl Allen
/authors/OL298347A,"Li, Hongzhi"
/authors/OL3101778A,Li Hongzhi
/authors/OL3216310A,Ziulian Dafa
/authors/OL7845747A,Henning Wackerhage
/authors/OL2828739A,Mike Price
/authors/OL236763A,William D. McArdle
/authors/OL1020096A,Nathan Pritikin
/authors/OL3536884A,Nathan Pritikin With Patrick M. McGrady Jr
/authors/OL5389441A,Clare E. Milner
/authors/OL8281407A,Rhodri S. Lloyd
/authors/OL8281408A,Jon L. Oliver
/authors/OL910669A,James Kennaway
/authors/OL4751304A,James Kennaway
/authors/OL4751724A,James Kennaway
/authors/OL231069A,Jack H. Wilmore
/authors/OL3251684A,David Costill
/authors/OL3251685A,W. Larry Kenney
/authors/OL2804627A,Dale P. Mood
/authors/OL7704885A,James R. Morrow  Jr.
/authors/OL464494A,B. K. S. Iyengar
/authors/OL2879379A,Daphne Razazan
/authors/OL3502158A,Eric C. Schwarz
/authors/OL389290A,Vivian H. Heyward
/authors/OL1429431A,Mari C. Schuh
/authors/OL217533A,Gail Saunders-Smith
/authors/OL2629112A,Barbara Rolls
/authors/OL9771369A,LLC Strictly Spanish
/authors/OL1393782A,Barbara J. Rolls
/authors/OL2703506A,Scholastic Professional Books
/authors/OL3309277A,American Health Foundation
/authors/OL24937A,Philip J. Rasch
/authors/OL2411172A,Wilbur Pardon Bowen
/authors/OL329047A,Philip E. Allsen
/authors/OL897871A,Joyce M. Harrison
/authors/OL475994A,Barbara Vance
/authors/OL1603217A,Paul W. Darst
/authors/OL531247A,Robert P. Pangrazi
/authors/OL8166213A,Paul Hough
/authors/OL3489664A,Simon Penn
/authors/OL8136933A,Stuart J. H. Biddle
/authors/OL3380281A,Nanette Mutrie
/authors/OL8136934A,Trish Gorely
/authors/OL449465A,Callan Pinckney
