key,title,first_publish_year
/works/OL209286W,Supplement,2003.0
/works/OL1976081W,The 36-hour day,1981.0
/works/OL53020W,From head to toe,1977.0
/works/OL3004974W,Concepts of Physical Fitness,1985.0
/works/OL2000340W,Exercise physiology,1990.0
/works/OL1965529W,Mars and Venus in the bedroom,1995.0
/works/OL16479869W,Lifetime physical fitness and wellness,1986.0
/works/OL4781729W,"Get fit, stay well!",2008.0
/works/OL2767765W,Weight training for dummies,1997.0
/works/OL1796950W,How to Get Strong and How to Stay So,1879.0
/works/OL3368838W,Resurrection of the body,1969.0
/works/OL5829125W,Guide des mouvements de musculation,2001.0
/works/OL5967916W,Principles and Labs for Physical Fitness and Wellness,1988.0
/works/OL21430808W,Total Fitness and Wellness,2003.0
/works/OL8259342W,Royal Canadian Air Force Exercise Plans for Physical Fitness,1962.0
/works/OL12889997W,My system,1900.0
/works/OL8098032W,Physical Activity and Health,2003.0
/works/OL882895W,Making connections,1998.0
/works/OL3368666W,Fitness for dummies,1996.0
/works/OL9182315W,The psychology of exercise,2003.0
/works/OL1647552W,Fitness,1979.0
/works/OL21393588W,Access to Health,2011.0
/works/OL2277996W,Zhuan fa lun,1994.0
/works/OL20342841W,Molecular Exercise Physiology,2014.0
/works/OL21282030W,Lab Reports and Projects in Sport and Exercise Science,2013.0
/works/OL1970547W,Exercise physiology,1981.0
/works/OL4828197W,The Pritikin program for diet & exercise,1979.0
/works/OL12305728W,Functional anatomy for sport and exercise,2008.0
/works/OL25190317W,Strength and Conditioning for Young Athletes,2013.0
/works/OL4529166W,Tunes of glory,1956.0
/works/OL1927247W,Physiology of sport and exercise,1994.0
/works/OL20326545W,Introduction to Statistics in Human Performance,2014.0
/works/OL3018498W,Yoga,2001.0
/works/OL16975128W,Sport facility operations management,2010.0
/works/OL2668560W,Advanced fitness assessment & exercise prescription,1991.0
/works/OL16617591W,Get moving!,2012.0
/works/OL8118187W,You & Your Body,1994.0
/works/OL14872697W,Kinesiology and applied anatomy,1961.0
/works/OL206035W,Applied anatomy and kinesiology,1917.0
/works/OL2399418W,Fitness for life,1976.0
/works/OL6211817W,Dynamic physical education for secondary school students,2001.0
/works/OL21315677W,Advanced Personal Training,2016.0
/works/OL21247956W,Psychology of Physical Activity,2006.0
/works/OL2946487W,Callanetics countdown,1990.0
/works/OL6624546W,The manual of weight-training,1967.0
/works/OL5355219W,Raquel,1984.0
/works/OL20290222W,Exercise and Sport Pharmacology,2015.0
/works/OL4072236W,Data Analysis and Research for Sport and Exercise Science,2003.0
/works/OL1534132W,"Health, strength & power",1904.0
/works/OL243397W,Medicina gymnastica,1705.0
/works/OL2277997W,Zhongguo fa lun gong,1993.0
/works/OL21246883W,Exercise Immunology,2013.0
